11_11075	ABC03430-1-1-265
11_11239	ABC10040-1-1-238
11_11240	ABC10045-1-1-164
11_11241	ABC10084-1-2-363
11_11243	ABC10197-1-1-101
11_11246	ABC10265-sfp25-01
11_11249	ABC10441-1-4-203
11_11250	ABC10472-1-2-247
11_21493	ABC10632-1-2-132
11_11256	ABC10636-1-4-285
11_11258	ABC10667-1-1-288
11_11260	ABC10705-1-1-263
11_11261	ABC10738-1-1-258
11_11262	ABC10785-1-1-82
11_21495	ABC11028-1-1-64
11_11273	ABC11221-1-3-410
11_11275	ABC11252-1-2-254
11_11276	ABC11278-1-1-76
11_11277	ABC11290-sfp44-06
11_11281	ABC11529-1-1-295
11_11283	ABC11783-1-1-99
11_11287	ABC11913-1-1-104
11_11291	ABC11989-1-2-148
11_11292	ABC12093-1-2-231
11_11293	ABC12199-1-1-25
11_11294	ABC12239-1-1-316
11_11299	ABC12417-1-1-46
11_11302	ABC12560-1-1-421
11_11307	ABC12856-1-1-77
11_11312	ABC13045-1-1-226
11_11313	ABC13089-1-2-478
11_11314	ABC13107-1-3-299
11_11319	ABC13376-1-3-273
11_11320	ABC13480-1-7-313
11_11323	ABC13569-1-1-107
11_11326	ABC13652-1-2-156
11_11328	ABC13678-1-2-369
11_11329	ABC13717-1-1-328
11_11330	ABC13753-1-2-167
11_11332	ABC14026-1-2-168
11_11336	ABC14148-1-1-177
11_11337	ABC14167-1-2-250
11_11341	ABC14350-1-2-242
11_21502	ABC14384-1-1-53
11_11343	ABC14397-1-2-208
11_11346	ABC14531-1-2-91
11_11348	ABC14535-1-1-75
11_11349	ABC14687-1-4-344
11_11350	ABC14689-1-9-399
11_21504	ABC14714-1-1-162
11_11352	ABC14818-1-1-296
11_11354	ABC14943-1-2-466
11_11355	ABC14990-1-1-126
11_21505	ABC15290-1-3-262
11_11359	ABC15349-1-1-162
11_11361	ABC15617-1-3-265
11_11364	ABC16075-2-2-232
11_11365	ABC16258-1-1-77
11_11367	ABC16273-1-1-48
11_11375	ABC17073-1-1-298
11_21507	ABC17086-1-9-254
11_11380	ABC17314-1-1-226
11_11384	ABC17685-1-4-365
11_21508	ABC17741-1-2-493
11_21511	ABC18582-1-2-417
11_21513	ABC18746-1-2-109
11_11394	ABC19175-1-2-375
11_11398	ABC20090-1-1-275
11_11400	ABC20402-1-3-298
11_11401	ABC21245-1-2-275
11_11402	ABC22343-1-1-120
11_11405	ABC24906-1-1-279
11_11406	ABC25019-1-8-280
11_11410	ABC36454-pHv2499-01
11_11411	ABC38781-pHv2346-01
11_11430	ConsensusGBS0008-1
11_11431	ConsensusGBS0010-2
11_11432	ConsensusGBS0019-1
11_11435	ConsensusGBS0033-1
11_11436	ConsensusGBS0038-2
11_11440	ConsensusGBS0084-1
11_11441	ConsensusGBS0086-5
11_11445	ConsensusGBS0132-4
11_21521	ConsensusGBS0136-7
11_11453	ConsensusGBS0194-1
11_11458	ConsensusGBS0239-5
11_11459	ConsensusGBS0241-3
11_11461	ConsensusGBS0250-2
11_21523	ConsensusGBS0271-2
11_11469	ConsensusGBS0286-1
11_11470	ConsensusGBS0288-1
11_11473	ConsensusGBS0304-1
11_11478	ConsensusGBS0342-1
11_11479	ConsensusGBS0346-1
11_11480	ConsensusGBS0348-2
11_21528	ConsensusGBS0356-1
11_11481	ConsensusGBS0361-5
11_11483	ConsensusGBS0369-1
11_11484	ConsensusGBS0371-2
11_11486	ConsensusGBS0379-1
11_11488	ConsensusGBS0388-1
11_11489	ConsensusGBS0390-11
11_11490	ConsensusGBS0397-16
11_11495	ConsensusGBS0446-1
11_11497	ConsensusGBS0451-1
11_11500	ConsensusGBS0461-3
11_11501	ConsensusGBS0471-1
11_11502	ConsensusGBS0508-1
11_11503	ConsensusGBS0510-2
11_11505	ConsensusGBS0524-2
11_11506	ConsensusGBS0527-5
11_11507	ConsensusGBS0531-1
11_11509	ConsensusGBS0554-4
11_11513	ConsensusGBS0589-1
11_11516	ConsensusGBS0632-3
11_21534	ConsensusGBS0644-2
11_21536	ConsensusGBS0654-4
11_11528	ConsensusGBS0687-3
11_11530	ConsensusGBS0697-1
11_11532	ConsensusGBS0704-2
11_11533	ConsensusGBS0705-1
11_11534	ConsensusGBS0708-6
12_10014	1042-365
12_10016	104-641
12_10022	10654-1181
12_10032	10956-366
12_10034	1110-982
12_10035	1114-892
12_10036	1116-409
12_10051	1192-1341
12_10053	1195-626
12_10063	1230-523
12_10071	1279-536
12_10074	1291-538
12_10077	1300-1364
12_10079	1305-736
12_10088	1366-1466
12_10099	1432-561
12_10100	1435-495
12_10103	1453-346
12_10105	1464-57
12_10114	15141-288
12_10122	1557-1313
12_10125	1578-1339
12_10134	1622-214
12_10140	1653-958
12_10149	1707-1837
12_10151	1730-1717
12_10156	1742-718
12_10159	1749-948
12_10164	1767-1619
12_10166	1770-1477
12_10170	1810-2553
12_10171	1812-373
12_10173	1835-432
12_10179	1863-1107
12_10181	1868-1311
12_10188	191-346
12_10198	1955-868
12_10199	1958-1962
12_10201	1968-1263
12_10203	1983-467
12_10205	1987-480
12_10206	1990-811
12_10207	199-393
12_10210	2003-563
12_10215	2023-336
12_10218	2032-923
12_10219	2038-3953
12_10222	2060-422
12_10228	211-1181
12_10230	2118-501
12_10233	2125-1506
12_10235	2141-2425
12_10264	2283-2886
12_10267	2295-964
12_10268	2296-952
12_10271	2299-2992
12_10273	2309-1354
12_10278	2327-126
12_10284	2351-518
12_10296	2416-1016
12_10300	243-767
12_10306	2469-1034
12_10313	2504-1413
12_10314	2510-1464
12_10322	2555-114
12_10330	2593-354
12_10333	2611-2077
12_10337	2625-473
12_10344	2660-678
12_10345	2661-591
12_10347	2670-1431
12_10348	2673-486
12_10362	2745-1082
12_10368	2781-821
12_10369	2790-70
12_10371	2800-1016
12_10378	2828-328
12_10391	2913-1920
12_10392	291-486
12_10393	2917-166
12_10406	3011-438
12_10408	3018-1012
12_10410	3040-3327
12_10420	3107-561
12_10426	3144-1501
12_10430	3184-791
12_10447	3292-418
12_10452	3321-2496
12_10459	3372-751
12_10472	3457-88
12_10474	3467-549
12_10485	3531-958
12_10486	3534-162
12_10487	3536-89
12_10489	3546-989
12_10491	3561-892
12_10492	3573-556
12_10493	3577-547
12_10497	3596-1091
12_10499	3611-635
12_10500	3617-1123
12_10502	3627-881
12_10504	3634-2095
12_10505	3635-400
12_10506	3640-2807
12_10507	3641-828
12_10508	3643-2637
12_10530	3726-1989
12_10532	3732-2544
12_10535	3752-175
12_10542	3795-866
12_10543	3799-1335
12_10545	3806-486
12_10548	3819-1948
12_10554	384-815
12_10558	3884-1569
12_10562	3897-578
12_10564	3902-361
12_10575	3970-1171
12_10579	3988-933
12_10581	400-1020
12_10583	4019-573
12_10591	4059-1498
12_10592	4063-677
12_10596	4077-76
12_10605	4129-1119
12_10607	4143-1534
12_10609	4150-1380
12_10613	4169-1013
12_10615	4172-1362
12_10623	4220-430
12_10626	4243-2278
12_10629	4262-1754
12_10633	4285-1877
12_10634	4302-577
12_10636	4314-1463
12_10637	4324-825
12_10640	4337-601
12_10643	4370-419
12_10649	4419-1392
12_10650	441-961
12_10652	445-1199
12_10655	4460-739
12_10657	4475-340
12_10662	4528-2080
12_10666	4535-1140
12_10670	4555-499
12_10674	4599-425
12_10677	4624-2108
12_10678	4627-1463
12_10680	463-218
12_10689	4685-1342
12_10693	472-1376
12_10696	4767-1374
12_10698	4779-1563
12_10704	4790-1616
12_10713	486-1812
12_10715	4929-533
12_10717	4944-2118
12_10718	4953-858
12_10719	4956-1444
12_10725	5025-980
12_10732	5089-2143
12_10735	5129-837
12_10739	5161-1809
12_10746	5222-919
12_10752	5252-726
12_10758	5324-813
12_10769	5413-2541
12_10777	5510-1159
12_10784	5610-428
12_10792	5724-1303
12_10803	5803-458
12_10808	5878-1810
12_10810	5900-1872
12_10824	6136-531
12_10836	6324-401
12_10844	6444-752
12_10847	6471-1139
12_10850	650-1107
12_10857	6580-293
12_10859	6600-453
12_10860	6603-1702
12_10864	6672-803
12_10878	6910-393
12_10880	6928-788
12_10883	697-715
12_10887	7051-608
12_10888	710-1699
12_10897	7206-2010
12_10899	7235-395
12_10904	7382-626
12_10905	7389-555
12_10910	7505-464
12_10915	7574-495
12_10923	7679-530
12_10927	7735-657
12_10930	778-2050
12_10936	7804-582
12_10937	7808-727
12_10938	7833-315
12_10948	796-1148
12_10950	7975-697
12_10953	8107-154
12_10959	8208-576
12_10968	8387-187
12_10969	8397-432
12_10973	8469-1036
12_10979	8548-1250
12_10981	856-896
12_10982	857-133
12_11005	918-928
12_11008	9279-368
12_11010	930-595
12_11011	931-681
12_11018	9530-425
12_11020	961-2471
12_11030	9837-659
12_11035	ABC00602-1-2-260
12_11036	ABC00634-1-1-173
12_11039	ABC00917-1-1-70
12_11044	ABC01382-pHv1042-02
12_11045	ABC01459-1-1-130
12_11047	ABC01665-pHv1099
12_11050	ABC01852-1-1-214
12_11051	ABC01865-1-2-127
12_11055	ABC01934-1-1-242
12_11060	ABC02346-1-1-66
12_11062	ABC02507-1-2-432
12_11063	ABC02614-1-2-387
12_11069	ABC03043-1-1-113
12_11077	ABC03596-1-1-59
12_11078	ABC03674-1-1-226
12_11084	ABC04158-1-1-332
12_11089	ABC04317-1-2-210
12_11095	ABC04634-pHv100-03
12_11096	ABC04704-3-1-245
12_11102	ABC04904-1-1-135
12_11103	ABC05005-1-2-314
12_11104	ABC05029-1-1-33
12_11107	ABC05122-1-1-267
12_11108	ABC05189-1-1-173
12_11112	ABC05345-1-1-75
12_11117	ABC05532-1-4-411
12_11121	ABC05800-1-1-142
12_11131	ABC05977-1-10-470
12_11134	ABC06096-1-1-185
12_11138	ABC06343-1-2-292
12_11139	ABC06351-1-2-130
12_11140	ABC06358-1-1-400
12_11144	ABC06571-1-2-356
12_11146	ABC06629-pHv1804
12_11150	ABC06816-1-11-542
12_11151	ABC06852-1-1-216
12_11152	ABC06873-1-1-239
12_11154	ABC06897-2-3-312
12_11163	ABC07135-1-1-250
12_11164	ABC07194-1-5-373
12_11169	ABC07427-1-1-329
12_11171	ABC07448-1-1-309
12_11173	ABC07506-1-2-502
12_11175	ABC07525-1-1-70
12_11181	ABC07733-1-1-227
12_11183	ABC07893-1-1-175
12_11184	ABC07938-1-7-381
12_11190	ABC08085-1-3-454
12_11192	ABC08225-1-1-100
12_11194	ABC08246-1-1-278
12_11202	ABC08467-1-1-92
12_11208	ABC08790-1-5-160
12_11209	ABC08857-1-2-378
12_11232	ABC09808-1-1-298
12_11233	ABC09877-1-1-108
12_11235	ABC09920-1-2-184
12_11237	ABC09978-1-2-154
12_11242	ABC10157-1-14-520
12_11245	ABC10263-1-2-215
12_11252	ABC10514-1-2-234
12_11253	ABC10536-1-2-232
12_11254	ABC10546-1-2-488
12_11255	ABC10632-1-4-309
12_11257	ABC10663-sfp31-01
12_11265	ABC10847-1-2-167
12_11266	ABC10866-1-1-57
12_11267	ABC10931-1-2-397
12_11269	ABC10995-1-1-54
12_11272	ABC11129-1-1-152
12_11274	ABC11237-1-2-39
12_11278	ABC11345-1-2-363
12_11284	ABC11816-1-1-243
12_11285	ABC11853-1-2-343
12_11288	ABC11935-sfp60
12_11295	ABC12277-3-1-268
12_11298	ABC12379-1-3-324
12_11300	ABC12449-1-3-227
12_11301	ABC12550-1-3-276
12_11309	ABC12986-1-3-308
12_11310	ABC12999-1-3-174
12_11311	ABC13023-1-10-344
12_11315	ABC13131-1-1-357
12_11316	ABC13156-sfp87-02
12_11318	ABC13318-1-2-78
12_11321	ABC13523-1-1-82
12_11322	ABC13555-1-5-548
12_11324	ABC13578-1-2-135
12_11325	ABC13614-1-1-320
12_11338	ABC14307-1-4-145
12_11339	ABC14309-1-1-132
12_11340	ABC14332-2-1-112
12_11353	ABC14849-1-1-533
12_11357	ABC15151-1-1-403
12_11363	ABC15807-1-3-518
12_11368	ABC16528-pHv407
12_11369	ABC16534-1-1-101
12_11377	ABC17088-1-1-247
12_11382	ABC17649-1-5-464
12_11383	ABC17672-1-2-159
12_11385	ABC17741-1-1-203
12_11386	ABC18140-1-1-43
12_11387	ABC18178-1-1-283
12_11388	ABC18508-1-4-343
12_11392	ABC18746-1-3-208
12_11399	ABC20253-1-1-202
12_11409	ABC30545-sfp38-06
12_11413	ABC49997-sfp49-02
12_11414	ABC52215-pHv1348-01
12_11427	ConsensusGBS0001-1
12_11428	ConsensusGBS0003-1
12_11429	ConsensusGBS0006-2
12_11434	ConsensusGBS0031-1
12_11437	ConsensusGBS0040-1
12_11438	ConsensusGBS0042-1
12_11442	ConsensusGBS0088-1
12_11443	ConsensusGBS0103-1
12_11444	ConsensusGBS0131-2
12_11449	ConsensusGBS0143-1
12_11450	ConsensusGBS0152-1
12_11452	ConsensusGBS0155-4
12_11454	ConsensusGBS0222-2
12_11455	ConsensusGBS0224-1
12_11457	ConsensusGBS0237-2
12_11462	ConsensusGBS0264-1
12_11463	ConsensusGBS0267-2
12_11468	ConsensusGBS0284-1
12_11472	ConsensusGBS0295-1
12_11475	ConsensusGBS0325-1
12_11477	ConsensusGBS0340-1
12_11482	ConsensusGBS0364-1
12_11485	ConsensusGBS0372-1
12_11487	ConsensusGBS0387-1
12_11492	ConsensusGBS0413-1
12_11493	ConsensusGBS0428-3
12_11494	ConsensusGBS0440-2
12_11496	ConsensusGBS0450-1
12_11498	ConsensusGBS0455-1
12_11499	ConsensusGBS0460-1
12_11504	ConsensusGBS0519-1
12_11508	ConsensusGBS0553-13
12_11511	ConsensusGBS0587-1
12_11512	ConsensusGBS0588-1
12_11515	ConsensusGBS0613-8
12_11517	ConsensusGBS0637-1
12_11518	ConsensusGBS0639-2
12_11524	ConsensusGBS0658-1
12_11525	ConsensusGBS0664-1
12_11526	ConsensusGBS0666-1
12_11527	ConsensusGBS0667-8
12_11529	ConsensusGBS0693-4
12_11535	ConsensusGBS0712-1
12_11536	ConsensusGBS0723-1
12_20006	10078-366
12_20011	10233-249
12_20016	10308-451
12_20027	10503-360
12_20031	10622-544
12_20037	10698-545
12_20045	10789-352
12_20059	11034-152
12_20079	11507-427
12_20108	1211-504
12_20142	1321-301
12_20143	13226-182
12_20144	13243-430
12_20148	1345-861
12_20156	1385-227
12_20158	139-1708
12_20176	14538-224
12_20181	1479-1119
12_20183	1486-1515
12_20186	14978-553
12_20187	1498-596
12_20196	1522-412
12_20198	15347-51
12_20201	1555-982
12_20207	1590-726
12_20217	1621-2223
12_20227	1665-330
12_20235	1709-388
12_20237	1711-573
12_20240	1751-296
12_20241	1754-505
12_20257	1848-1254
12_20264	1892-775
12_20274	1962-972
12_20278	1982-836
12_20281	1986-3486
12_20285	2003-1113
12_20295	2062-1414
12_20297	2075-320
12_20317	2193-516
12_20323	2227-491
12_20326	2232-1685
12_20335	2292-1253
12_20350	2365-405
12_20359	2404-1108
12_20368	2477-910
12_20369	2481-903
12_20381	2570-462
12_20403	2727-1286
12_20406	2745-674
12_20407	2747-903
12_20413	2779-2186
12_20416	2797-1149
12_20421	2825-1609
12_20424	2835-1501
12_20429	2864-221
12_20436	2888-984
12_20448	2945-515
12_20463	3024-711
12_20489	316-1429
12_20505	3226-874
12_20518	3294-439
12_20525	3328-1193
12_20574	3515-379
12_20576	3522-2500
12_20591	3609-981
12_20593	3616-1171
12_20599	3653-519
12_20608	3691-1359
12_20611	3717-1399
12_20613	3723-1837
12_20618	3753-125
12_20632	3815-555
12_20640	3907-373
12_20641	3913-1715
12_20648	3946-129
12_20649	3960-1231
12_20684	4113-1389
12_20685	4115-1516
12_20688	4131-605
12_20696	4151-580
12_20721	4261-3175
12_20770	4586-536
12_20775	4612-594
12_20793	4694-1865
12_20803	4748-1149
12_20816	4810-1279
12_20818	4816-115
12_20825	4843-2708
12_20831	4856-1785
12_20832	4863-1723
12_20839	4922-501
12_20849	4995-889
12_20861	5045-2792
12_20863	5047-902
12_20867	5065-543
12_20878	5132-155
12_20898	5220-496
12_20907	5276-519
12_20917	5322-1054
12_20926	5359-317
12_20949	5507-736
12_20954	5535-526
12_20981	5735-1891
12_20985	5751-644
12_20989	5766-399
12_21003	5808-1970
12_21009	5846-1634
12_21016	588-539
12_21019	5899-1462
12_21020	5914-838
12_21029	5950-378
12_21036	6020-279
12_21049	6086-690
12_21064	6181-908
12_21081	6295-131
12_21105	6473-811
12_21114	6535-898
12_21115	6537-1407
12_21117	6551-419
12_21128	6669-1095
12_21131	6710-695
12_21135	6736-548
12_21137	6755-407
12_21157	685-359
12_21167	6912-1042
12_21172	6937-609
12_21176	6961-1324
12_21194	7098-1465
12_21208	7208-468
12_21268	7788-203
12_21288	7959-518
12_21290	7977-1286
12_21319	8325-357
12_21328	8412-664
12_21337	8505-503
12_21345	8570-177
12_21356	8696-629
12_21372	8865-547
12_21376	8919-758
12_21386	9040-492
12_21393	9110-748
12_21396	9148-259
12_21408	933-1314
12_21411	9387-347
12_21415	9452-210
12_21442	9723-836
12_21449	9849-526
12_21450	985-2172
12_21458	ABC01736-1-1-337
12_21461	ABC02112-1-9-351
12_21464	ABC02672-1-4-214
12_21470	ABC04273-1-13-159
12_21471	ABC04322-1-4-236
12_21476	ABC05146-1-2-236
12_21477	ABC05412-1-8-275
12_21479	ABC05772-1-1-482
12_21482	ABC06878-1-2-364
12_21496	ABC11420-sfp45-03
12_21497	ABC11984-1-1-45
12_21506	ABC16710-1-2-189
12_21520	ConsensusGBS0132-1
12_21522	ConsensusGBS0237-1
12_21527	ConsensusGBS0335-1
12_30002	ABC00495_1_569
12_30003	ABC00635_1_496
12_30004	ABC00652_2_135
12_30005	ABC01483_1_288
12_30006	ABC01616_1_514
12_30007	ABC01814_1_319
12_30008	ABC01829_1_443
12_30009	ABC01956_1_787
12_30010	ABC01964_1_566
12_30011	ABC02265_1_483
12_30014	ABC02471_2_350
12_30021	ABC03232_1_76
12_30025	ABC04220_1_596
12_30026	ABC04282_1_545
12_30029	ABC04475_1_105
12_30032	ABC04590_1_270
12_30039	ABC05558_1_907
12_30040	ABC05587_2_9_130
12_30041	ABC05638_1_64
12_30042	ABC05679_1_681
12_30043	ABC05789_1_168
12_30053	ABC06372_1_858
12_30055	ABC06491_2_376
12_30056	ABC06533_1_81
12_30059	ABC06622_1_419
12_30060	ABC06641_1_79
12_30062	ABC06870_1_371
12_30064	ABC06946_1_359
12_30065	ABC06987_1_260
12_30067	ABC07029_1_290
12_30068	ABC07036_1_234
12_30080	ABC07516_1_341
12_30081	ABC07538_1_215
12_30083	ABC07661_1_707
12_30087	ABC07825_1_403
12_30088	ABC07831_1_419
12_30090	ABC07895_1_382
12_30092	ABC07973_1_264
12_30095	ABC08156_1_83
12_30096	ABC08208_1_646
12_30097	ABC08212_1_434
12_30098	ABC08311_1_641
12_30105	ABC08682_1_180
12_30106	ABC08739_1_112
12_30108	ABC08847_1_341
12_30109	ABC08972_2_458
12_30110	ABC08981_1_44
12_30111	ABC08998_1_415
12_30114	ABC09190_1_254
12_30115	ABC09200_1_62
12_30117	ABC09226_2_496
12_30118	ABC09276_1_59
12_30120	ABC09423_1_124
12_30122	ABC09438_1_521
12_30125	ABC09567_1_355
12_30126	ABC09585_1_277
12_30129	ABC09752_1_163
12_30130	ABC09756_1_341
12_30132	ABC09897_1_1_26
12_30133	ABC09903_1_265
12_30135	ABC09967_1_296
12_30136	ABC09988_1_744
12_30137	ABC10057_1_934
12_30138	ABC10112_1_287
12_30140	ABC10274_1_404
12_30141	ABC10289_1_460
12_30143	ABC10328_1_388
12_30144	ABC10338_1_723
12_30145	ABC10432_1_405
12_30146	ABC10456_1_428
12_30147	ABC10477_1_295
12_30148	ABC10483_1_434
12_30149	ABC10594_1_687
12_30150	ABC10624_1_1026
12_30151	ABC10672_1_220
12_30152	ABC10730_2_206
12_30153	ABC10779_1_290
12_30154	ABC10877_1_174
12_30155	ABC10887_1_461
12_30158	ABC10937_1_696
12_30162	ABC11039_1_102
12_30164	ABC11081_1_330
12_30165	ABC11168_1_163
12_30166	ABC11247_1_450
12_30167	ABC11259_1_564
12_30169	ABC11270_1_1_231
12_30170	ABC11489_1_1122
12_30179	ABC11718_2_269
12_30181	ABC11726_1_201
12_30182	ABC11766_1_260
12_30183	ABC11767_1_299
12_30186	ABC11826_1_419
12_30187	ABC11855_1_206
12_30191	ABC11972_1_79
12_30192	ABC11988_1_747
12_30193	ABC12038_1_1_682
12_30195	ABC12075_1_164
12_30199	ABC12323_1_151
12_30200	ABC12363_1_220
12_30205	ABC12706_1_246
12_30206	ABC12732_2_890
12_30209	ABC12967_1_550
12_30213	ABC13238_1_90
12_30214	ABC13248_1_3_194
12_30216	ABC13294_1_430
12_30219	ABC13623_1_608
12_30222	ABC13835_1_1_51
12_30223	ABC14021_1_457
12_30224	ABC14081_1_343
12_30226	ABC14289_1_335
12_30229	ABC14673_1_118
12_30230	ABC14681_2_1169
12_30231	ABC14709_1_359
12_30232	ABC14737_1_96
12_30236	ABC14842_2_558
12_30238	ABC15036_1_738
12_30239	ABC15094_1_399
12_30240	ABC15150_1_139
12_30241	ABC15164_2_387
12_30243	ABC15205_1_425
12_30248	ABC15411_1_155
12_30250	ABC15559_1_489
12_30251	ABC15603_1_183
12_30254	ABC16098_1_411
12_30257	ABC16431_1_600
12_30259	ABC16937_1_362
12_30262	ABC17236_1_405
12_30265	ABC17756_1_190
12_30268	ABC18274_1_268
12_30271	ABC19362_1_603
12_30274	ABC19616_1_756
12_30275	ABC19861_2_376
12_30276	ABC20222_1_336
12_30277	ABC20718_1_107
12_30278	ABC20753_1_334
12_30290	ABC25593_eSNP_CNGC_442
12_30295	ABC50108_1_611
12_30296	AF509744_MX_948
12_30297	AF521177_HvHGA1_MX_CDS_1440
12_30298	AY972619_MX_Nec1_2066
12_30299	ConsensusGBS0265_2
12_30301	Hvu_amy_2_DQ018998_2269
12_30304	U32_10148_338
12_30305	U32_10159_506
12_30306	U32_10180_422
12_30308	U32_102_152
12_30310	U32_1022_118
12_30311	U32_10224_433
12_30314	U32_10259_178
12_30316	U32_10309_353
12_30317	U32_10424_706
12_30318	U32_10491_165
12_30323	U32_10869_506
12_30325	U32_10917_237
12_30328	U32_11103_408
12_30329	U32_11227_239
12_30331	U32_11491_428
12_30335	U32_11786_161
12_30336	U32_11789_202
12_30337	U32_11794_413
12_30338	U32_11868_607
12_30341	U32_11937_312
12_30342	U32_12072_133
12_30343	U32_12084_521
12_30344	U32_1209_987
12_30346	U32_12122_51
12_30348	U32_12176_199
12_30350	U32_12209_166
12_30351	U32_12274_226
12_30352	U32_12401_495
12_30353	U32_12470_211
12_30354	U32_12553_70
12_30355	U32_12621_275
12_30358	U32_13027_353
12_30360	U32_13213_63
12_30361	U32_13368_432
12_30362	U32_13417_246
12_30367	U32_13507_130
12_30368	U32_13527_471
12_30370	U32_1392_2167
12_30371	U32_13967_126
12_30375	U32_14243_215
12_30377	U32_14622_323
12_30378	U32_14697_157
12_30379	U32_1472_575
12_30380	U32_1480_347
12_30382	U32_14865_225
12_30385	U32_1510_670
12_30388	U32_15334_244
12_30389	U32_1548_333
12_30390	U32_1550_1487
12_30394	U32_1684_474
12_30395	U32_1708_1373
12_30396	U32_1731_424
12_30399	U32_1775_564
12_30400	U32_1794_707
12_30403	U32_185_829
12_30404	U32_1867_673
12_30406	U32_1918_240
12_30408	U32_2046_88
12_30409	U32_2051_403
12_30410	U32_2073_1148
12_30411	U32_2077_1422
12_30419	U32_2166_347
12_30420	U32_2213_658
12_30423	U32_2291_275
12_30424	U32_2308_519
12_30427	U32_2386_2097
12_30430	U32_2435_95
12_30431	U32_2436_2433
12_30432	U32_2438_479
12_30436	U32_2485_199
12_30438	U32_2509_1666
12_30441	U32_2540_144
12_30444	U32_259_1252
12_30445	U32_2612_2215
12_30449	U32_2713_848
12_30450	U32_2718_537
12_30454	U32_2764_882
12_30455	U32_2772_898
12_30456	U32_2783_2471
12_30459	U32_2818_392
12_30462	U32_2905_242
12_30465	U32_2959_1255
12_30467	U32_3096_1267
12_30472	U32_3120_335
12_30473	U32_3124_299
12_30474	U32_3139_110
12_30475	U32_3149_1088
12_30476	U32_3160_644
12_30477	U32_3165_752
12_30478	U32_3183_518
12_30480	U32_3207_632
12_30481	U32_3249_1268
12_30482	U32_3258_488
12_30486	U32_3369_2296
12_30487	U32_3403_91
12_30488	U32_3424_95
12_30491	U32_3468_2126
12_30492	U32_3471_858
12_30494	U32_3501_418
12_30496	U32_3530_642
12_30498	U32_3590_336
12_30499	U32_3648_1062
12_30502	U32_3666_1499
12_30503	U32_3683_1663
12_30504	U32_3706_309
12_30505	U32_3713_267
12_30506	U32_3745_601
12_30508	U32_3768_1094
12_30509	U32_3796_993
12_30510	U32_3803_1334
12_30511	U32_3831_179
12_30515	U32_3899_1715
12_30516	U32_3923_1371
12_30517	U32_3959_548
12_30521	U32_3978_465
12_30522	U32_4007_238
12_30524	U32_4034_1438
12_30525	U32_404_843
12_30530	U32_415_260
12_30531	U32_4156_2652
12_30532	U32_4190_2397
12_30533	U32_4201_1988
12_30538	U32_4304_3452
12_30539	U32_4329_198
12_30540	U32_4339_992
12_30543	U32_4362_135
12_30544	U32_4364_1231
12_30545	U32_4414_290
12_30546	U32_4421_1432
12_30550	U32_4492_809
12_30554	U32_4613_499
12_30555	U32_4615_1449
12_30556	U32_464_949
12_30557	U32_4648_330
12_30561	U32_4731_1631
12_30562	U32_4758_440
12_30563	U32_4768_190
12_30564	U32_4821_1059
12_30565	U32_4893_291
12_30566	U32_4897_828
12_30567	U32_4900_2247
12_30569	U32_4920_1357
12_30571	U32_4926_1136
12_30573	U32_4955_1902
12_30574	U32_4972_199
12_30575	U32_4981_1658
12_30576	U32_5005_2035
12_30577	U32_5031_1217
12_30580	U32_5092_965
12_30581	U32_5131_1316
12_30582	U32_5133_159
12_30583	U32_5137_933
12_30584	U32_5144_1710
12_30588	U32_5200_1052
12_30589	U32_5231_1691
12_30590	U32_5287_707
12_30591	U32_5299_1659
12_30592	U32_5342_1253
12_30593	U32_5362_853
12_30594	U32_5378_1152
12_30595	U32_5390_959
12_30596	U32_5398_118
12_30597	U32_5407_1165
12_30598	U32_5408_830
12_30600	U32_5459_1040
12_30602	U32_5491_306
12_30603	U32_5517_1123
12_30605	U32_5552_250
12_30606	U32_563_543
12_30609	U32_5641_239
12_30611	U32_5714_470
12_30616	U32_5731_1803
12_30618	U32_5814_1420
12_30619	U32_5830_1337
12_30620	U32_5849_1360
12_30621	U32_5857_1429
12_30622	U32_5858_1366
12_30625	U32_5930_1474
12_30626	U32_5968_585
12_30627	U32_5972_1498
12_30630	U32_6040_1142
12_30631	U32_6062_476
12_30634	U32_6180_831
12_30635	U32_6188_1308
12_30636	U32_6189_94
12_30637	U32_6217_114
12_30639	U32_6285_81
12_30640	U32_6288_886
12_30642	U32_6342_1490
12_30644	U32_6403_547
12_30645	U32_6423_891
12_30646	U32_6430_583
12_30649	U32_6455_90
12_30651	U32_6479_2874
12_30653	U32_6512_1541
12_30654	U32_6548_1115
12_30655	U32_6567_264
12_30656	U32_6578_886
12_30657	U32_6582_1350
12_30658	U32_6609_2350
12_30663	U32_6715_250
12_30665	U32_6862_970
12_30666	U32_6903_1480
12_30668	U32_6933_1106
12_30672	U32_6986_1725
12_30673	U32_6987_1361
12_30674	U32_6997_225
12_30677	U32_7048_390
12_30678	U32_7077_588
12_30680	U32_7084_191
12_30681	U32_7087_390
12_30683	U32_7097_198
12_30684	U32_7104_420
12_30685	U32_711_642
12_30690	U32_7166_403
12_30691	U32_7203_1124
12_30693	U32_7224_971
12_30694	U32_7229_514
12_30695	U32_7281_349
12_30696	U32_7285_433
12_30697	U32_7321_990
12_30698	U32_7349_99
12_30700	U32_7393_697
12_30702	U32_7436_994
12_30703	U32_7446_193
12_30705	U32_7467_358
12_30707	U32_7514_744
